Zürich-Kaserne
Messstation Nr.:  16
MW1                vom 01.01.2013  00:10 Uhr
                   bis 31.12.2013  24:00 Uhr
Bezeichnung der Datenkolonnen:
Kol Messobjekt  MSNR  Einheit  Position  Text
  1 Jahr           -  -          1-  4   Jahr
  2 Monat          -  -          6-  7   Monat
  3 Tag            -  -          9- 10   Tag
  4 Stunde         -  -         12- 13   Stunde
  5 Minute         -  -         15- 16   Minute
  7 WIRI           -  °         28- 37   Windrichtung
  6 WIGE           -  m/s       18- 27   Windgeschwindigkeit
Ausgefallene Werte werden durch den Wert -9999 gekennzeichnet.
X
2013 01 17 02 00 310.4733 2.7514
2013 01 17 03 00 303.6497 2.3613
2013 01 17 04 00 296.7050 2.0378
2013 01 17 05 00 303.5386 1.7598
2013 01 17 06 00 310.6996 2.0681
2013 01 17 07 00 293.4978 1.5776
2013 01 17 08 00 301.4754 1.6486
2013 01 17 09 00 294.1887 2.0755
2013 01 17 10 00 295.2493 1.6383
2013 01 17 11 00 302.3803 1.9329
2013 01 17 12 00 289.2731 1.5421
2013 01 17 13 00 277.9457 1.5795
2013 01 17 14 00 274.2732 1.8229
2013 01 17 15 00 276.1090 2.0771
2013 01 17 16 00 277.6608 2.0668
2013 01 17 17 00 294.6232 2.5991
2013 01 17 18 00 277.9051 1.9416
2013 01 17 19 00 285.2620 2.0313
2013 01 17 20 00 292.0023 2.1969
2013 01 17 21 00 304.4254 1.6888
2013 01 17 22 00 305.1936 1.4099
2013 01 17 23 00 300.9682 1.5915
2013 01 17 24 00 296.3152 1.7346
2013 01 18 01 00 326.1183 1.2787
2013 01 18 02 00 331.8531 1.2074
2013 01 18 03 00 288.4709 1.8344
2013 01 18 04 00 312.7752 1.1374
2013 01 18 05 00 318.7396 1.1223
2013 01 18 06 00 345.6257 1.6464
2013 01 18 07 00 314.8721 1.2968
2013 01 18 08 00 308.9839 1.5454
2013 01 18 09 00 323.3390 1.7379
2013 01 18 10 00 321.3933 1.0910
2013 01 18 11 00 318.9363 1.2882
2013 01 18 12 00 28.9650 0.9208
2013 01 18 13 00 78.4785 2.0039
2013 01 18 14 00 29.6745 1.9313
2013 01 18 15 00 336.3222 1.9069
2013 01 18 16 00 11.9951 2.0096
2013 01 18 17 00 41.6776 1.8100
2013 01 18 18 00 50.8840 2.7004
2013 01 18 19 00 62.6692 2.0321
2013 01 18 20 00 30.2108 1.3558
2013 01 18 21 00 28.2299 1.2779
2013 01 18 22 00 0.1147 1.2040
2013 01 18 23 00 346.4988 1.2395
2013 01 18 24 00 321.2149 1.8669
2013 01 19 01 00 338.5538 1.3419
2013 01 19 02 00 15.4891 1.7584
2013 01 19 03 00 356.3297 1.1502
2013 01 19 04 00 340.8579 1.8024
2013 01 19 05 00 2.5735 1.4297
2013 01 19 06 00 351.8912 1.4305
2013 01 19 07 00 343.5757 1.7011
2013 01 19 08 00 336.2393 1.4316
2013 01 19 09 00 330.9994 1.5339
2013 01 19 10 00 344.3596 1.7396
2013 01 19 11 00 345.7625 1.0914
2013 01 19 12 00 269.8999 1.2874
2013 01 19 13 00 325.2940 1.6697
2013 01 19 14 00 345.5234 2.0689
2013 01 19 15 00 356.6239 1.6411
2013 01 19 16 00 4.3805 2.0740
2013 01 19 17 00 7.2774 1.8425
2013 01 19 18 00 349.4122 1.9002
2013 01 19 19 00 355.9784 1.7755
2013 01 19 20 00 355.9735 1.7889
2013 01 19 21 00 354.6576 1.6341
2013 01 19 22 00 353.0807 2.0873
2013 01 19 23 00 355.1172 2.5540
2013 01 19 24 00 345.0360 2.5517
2013 01 20 01 00 331.2440 2.6112
2013 01 20 02 00 339.7958 2.6119
2013 01 20 03 00 342.0118 2.5387
2013 01 20 04 00 339.6629 2.5757
2013 01 20 05 00 334.6393 2.2023
2013 01 20 06 00 312.6470 1.6880
2013 01 20 07 00 319.3583 1.1700
2013 01 20 08 00 353.6550 1.4218
2013 01 20 09 00 352.7679 2.1907
