Lausanne-César-Roux
Messstation Nr.:   9
MW1                vom 01.01.2013  00:10 Uhr
                   bis 31.12.2013  24:00 Uhr
Bezeichnung der Datenkolonnen:
Kol Messobjekt  MSNR  Einheit  Position  Text
  1 Jahr           -  -          1-  4   Jahr
  2 Monat          -  -          6-  7   Monat
  3 Tag            -  -          9- 10   Tag
  4 Stunde         -  -         12- 13   Stunde
  5 Minute         -  -         15- 16   Minute
  6 WIRI           -  °         18- 27   Windrichtung
  7 WIGE           -  m/s       28- 37   Windgeschwindigkeit
Ausgefallene Werte werden durch den Wert -9999 gekennzeichnet.
X
2013 01 17 09 00 293.1749 1.8072
2013 01 17 10 00 302.4831 1.8542
2013 01 17 11 00 326.4626 2.0364
2013 01 17 12 00 304.5520 2.1393
2013 01 17 13 00 267.9552 2.2287
2013 01 17 14 00 285.1657 2.2947
2013 01 17 15 00 223.7956 2.2603
2013 01 17 16 00 302.0425 2.0215
2013 01 17 17 00 328.3012 2.2589
2013 01 17 18 00 326.4293 1.4860
2013 01 17 19 00 186.1205 0.7222
2013 01 17 20 00 306.6616 1.0526
2013 01 17 21 00 278.6743 1.8785
2013 01 17 22 00 211.1483 2.4461
2013 01 17 23 00 229.3558 2.0596
2013 01 17 24 00 321.9600 2.1479
2013 01 18 01 00 325.9501 2.4097
2013 01 18 02 00 338.1739 2.3358
2013 01 18 03 00 325.8811 1.3385
2013 01 18 04 00 88.1800 1.3239
2013 01 18 05 00 357.3240 1.0993
2013 01 18 06 00 335.7322 1.6199
2013 01 18 07 00 322.9904 1.1329
2013 01 18 08 00 273.7948 1.0575
2013 01 18 09 00 278.1148 1.0514
2013 01 18 10 00 214.8395 0.6932
2013 01 18 11 00 114.1498 1.1292
2013 01 18 12 00 118.6399 1.7819
2013 01 18 13 00 123.2071 1.2533
2013 01 18 14 00 156.4284 1.2639
2013 01 18 15 00 141.2990 0.9581
2013 01 18 16 00 137.6348 0.6678
2013 01 18 17 00 232.7266 0.8375
2013 01 18 18 00 106.0714 0.7746
2013 01 18 19 00 27.5617 0.6592
2013 01 18 20 00 88.7504 0.6869
2013 01 18 21 00 85.7391 0.8303
2013 01 18 22 00 98.2795 0.6532
2013 01 18 23 00 315.8268 0.3779
2013 01 18 24 00 74.7498 0.5206
